filelink	include	beginn	ende	dauer_norm	dauer_bemerkung	gehalt_norm	gehalt_text	umfang_text	umfang_prozent	umfang_sws	umfang_stunden	jahr	datum	domain	domain_lit	domain_ling	domain_mkw	domain_fdid	domain_spr	domain_other	lang	lang_frz	lang_spa	lang_ita	lang_por	lang_rom	lang_okz	lang_kat	lang_eng	lang_other	lang_diverse	account	redaktion	title	position_lektorat	position_lfba	position_rat	position_projekt	position_wma	position_diss	position_postdoc		stadt	land
stellenanzeigen/4890.html	0	2021-03-01	N/A	N/A			N/A	40 Stunden/Woche	N/A	N/A	40	2020	18. November 2020	Literaturwissenschaft	1	0	0	0	0	0	Spanisch und Französisch	1	1	0	0	0	0	0	0	0	0	5078-Sonja_Humbel_Pain	764-Robert_Hesselbach	Universitätsassistent/in mit Doktorat	0	0	0	0	0	0	0		Graz	AT
stellenanzeigen/708.html	0	2015-03-01	N/A	N/A			Verwendungsgruppe B1	40 Stunden/Woche	N/A	N/A	40	2015	10. Februar 2015	Sprachwissenschaft	0	1	0	0	0	0	Französisch, Sprachübergreifend	1	0	0	0	0	0	0	0	0	1	3767-Sylvia_Jutz	4235-Stefanie_Popp	Senior Scientist (romanische Sprachwissenschaft, Schwerpunkt: Französisch)	0	0	0	0	0	0	0		Universität Salzburg	AT
stellenanzeigen/138.html	0	2014-10-01	N/A	72	tenure track	AT	N/A	40 Wochenstunden	100	N/A	N/A	2014	01. Mai 2014	Literaturwissenschaft, Medien-/Kulturwissenschaft	1	0	1	0	0	0	Portugiesisch, Spanisch	0	1	0	1	0	0	0	0	0	0	3767-Sylvia_Jutz	13-Christof_SchOech	Wiss. Mitarbeiter/in, Assistenzprofessor/in (mit Qualifizierungsvereinbarung)	0	0	0	0	1	0	0		Salzburg	AT
stellenanzeigen/553.html	1	2014-11-18	2014-12-12	120	unbefristet	A13	E13 TV-L oder A13	40,1	100	18	N/A	2014	20. November 2014	Sprachpraxis	0	0	0	0	1	0	Französisch	1	0	0	0	0	0	0	0	0	0	4177-Martin_Schnell	13-Christof_SchOech	Lehrkraft Französisch (Vollzeit)	0	0	0	0	0	0	0		Augsburg	DE
stellenanzeigen/3791.html	0	2019-05-06	2025-05-05	73			 §48 VwGr. B1 lit. b (postdoc) 	40.0 Stunden/Woche	N/A	N/A	0	2019	15. März 2019	Sprachwissenschaft	0	1	0	0	0	0	Katalanisch, Portugiesisch, Spanisch	0	1	0	1	0	0	1	0	0	0	3777-_Academics_de	5130-Ursula_Winter	Universitätsassistent/in (&quot;post doc&quot;) am Institut für Romanistik	0	0	0	0	0	0	1		Wien	AT
stellenanzeigen/4801.html	0	N/A	N/A	N/A			gemäß Kollektivvertrag: §48 VwGr. B1 lit. b (postdoc)	40.0 Stunden/Woche	N/A	N/A	0	2020	02. Oktober 2020	Medien-/Kulturwissenschaft	0	0	1	0	0	0	Sprachübergreifend	0	0	0	0	0	0	0	0	0	1	3777-_Academics_de	5130-Ursula_Winter	Senior Scientist(m/w/d) am Institut für Europäische und Vergleichende Sprach- und Literaturwissenschaft	0	0	0	0	0	0	0		Wien	AT
stellenanzeigen/4988.html	0	2021-08-01	N/A	N/A			N/A	40%	40	N/A	N/A	2021	12. Januar 2021	Sprachwissenschaft	0	1	0	0	0	0	Französisch	1	0	0	0	0	0	0	0	0	0	4085-Gabrielle_Hess	764-Robert_Hesselbach	Wissenschaftliche/r Mitarbeiter/in 40 %	0	0	0	0	1	0	0		Zürich	CH
stellenanzeigen/337.html	1	2014-10-19	2015-01-18	3	Vertretung	E13	EG 13	40h / 100% / 8 SWS	100	8	N/A	2014	17. Juli 2014	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	Französisch	1	0	0	0	0	0	0	0	0	0	184-Dietrich_Scholler	13-Christof_SchOech	Lehrkraft für besondere Aufgaben, Sprachpraxis	0	1	0	0	0	0	0		Mainz	DE
stellenanzeigen/1084.html	0	2015-10-01	2019-09-30	48			brutto € 2.663 / Monat (14 mal)	40h/Woche	N/A	N/A	N/A	2015	01. Juli 2015	N/A	0	0	0	0	0	0	N/A	0	0	0	0	0	0	0	0	0	0	4494-Mario_Casale	13-Christof_SchOech	Senior Lecturer (Italienisch) ohne Doktorat	0	0	0	0	0	0	0		Innsbruck, Österreich	AT
stellenanzeigen/926.html	0	2015-10-01	2019-09-30	48			N/A	40h/Woche	N/A	N/A	N/A	2015	07. Mai 2015	Literaturwissenschaft, Fachdidaktik	1	0	0	1	0	0	Italienisch	0	0	1	0	0	0	0	0	0	0	10-Daniel_Winkler	13-Christof_SchOech	UniversitätsassistentIn - Postdoc, Italienische Literatur- und Kulturwissenschaften und/oder ihre Didaktik (Literatur- und/oder Mediendidaktik)	0	0	0	0	0	0	1		Innsbruck, Österreich	AT
stellenanzeigen/907.html	0	2015-08-01	2018-07-31	36			N/A	45%	45	N/A	N/A	2015	29. April 2015	Sprachwissenschaft	0	1	0	0	0	0	Französisch	1	0	0	0	0	0	0	0	0	0	13-Christof_SchOech	13-Christof_SchOech	2 Assistenzstellen Französische Sprachwissenschaft / 2 postes d’assistanten linguistique française diachronique	0	0	0	0	0	0	0		Zürich, Schweiz	CH
stellenanzeigen/3313.html	0	N/A	N/A	N/A	Lehraufträge		N/A	5 bis 7 Stunden	N/A	N/A	7	2018	04. Juli 2018	Sprachpraxis	0	0	0	0	1	0	Italienisch, Spanisch	0	1	1	0	0	0	0	0	0	0	6416-Chiara_Angelini	5028-Marcel_Schmitt	Lehrbeauftragte für Italienisch und Spanisch gesucht.	0	0	0	0	0	0	0		Mainz	DE
stellenanzeigen/3357.html	1	2018-07-18	2018-08-10	36		E13	13 TV-L	50 %	50	2	N/A	2018	21. Juli 2018	Fachdidaktik	0	0	0	1	0	0	Französisch, Spanisch	1	1	0	0	0	0	0	0	0	0	4765-Manuela_Benik	13-Christof_SchOech	Wiss. Mitarbeiter/in an der Professur im Institut für Romanistik für die Didaktik des Französischen und Spanischen	0	0	0	0	1	0	0		Paderborn	DE
stellenanzeigen/2171.html	1	2017-04-01	2017-08-03	5	geprüft, isso	E13	EG 13 TV-L	50 %	50	8	N/A	2016	13. Dezember 2016	Sprachpraxis	0	0	0	0	1	0	Spanisch	0	1	0	0	0	0	0	0	0	0	4184-Susanne_Moerters	13-Christof_SchOech	Lehrkraft für besondere Aufgaben (w/m) im Fach Spanisch	0	1	0	0	0	0	0		Essen	DE
stellenanzeigen/223.html	1	2014-10-01	2016-09-30	24		E13	TVL-13	50 %	50	N/A	N/A	2014	28. Mai 2014	Sprachpraxis	0	0	0	0	1	0	Französisch	1	0	0	0	0	0	0	0	0	0	2247-Rainer_SchlOesser	13-Christof_SchOech	Wissenschaftliche/r Mitarbeiter/in (Sprachpraxis Französisch)	0	0	0	0	1	0	0		Jena	DE
stellenanzeigen/4067.html	1	2019-11-01	2022-06-30	32		E13	TVöD 13 (Bund)	50 %	50	N/A	N/A	2019	10. August 2019	N/A	0	0	0	0	0	0	N/A	0	0	0	0	0	0	0	0	0	0	6287-Dirk_Naguschewski	1903-Christoph_Behrens	Wissenschaftliche*r Mitarbeiter*in (m/w/d) im Projekt »Stadt, Land, Kiez. Nachbarschaften in der Berliner Gegenwartsliteratur«	0	0	0	1	1	0	0		Berlin	DE
stellenanzeigen/399.html	1	2014-11-01	2017-10-31	36		E13	13 TV-L	50 %	50	N/A	N/A	2014	04. September 2014	Sprachwissenschaft	0	1	0	0	0	0	Französisch, Italienisch, Spanisch	1	1	1	0	0	0	0	0	0	0	4079-Gabi_Guadamillas	13-Christof_SchOech	Wissenschaftliche/r Mitarbeiter/in Sprachwissenschaft	0	0	0	0	1	0	0		Passau	DE
stellenanzeigen/5394.html	1	2021-10-01	2024-09-30	36		E13	bei Vorliegen der persönlichen Voraussetzungen E 13 TV-L	50 %	50	N/A	N/A	2021	02. Juli 2021	Fachdidaktik	0	0	0	1	0	0	Französisch, Italienisch	1	0	1	0	0	0	0	0	0	0	6491-Jochen_Plikat	10019-Christine_Montmasson	Dissertationsstelle Fachdidaktik Französisch/Italienisch	0	0	0	0	0	0	0		Dresden	DE
stellenanzeigen/4133.html	1	2020-04-01	N/A	36		E13	bis E 13 TV-L	50 %	50	N/A	N/A	2019	20. September 2019	Fachdidaktik	0	0	0	1	0	0	Französisch	1	0	0	0	0	0	0	0	0	0	3777-_Academics_de	5130-Ursula_Winter	Akademischer Mitarbeiter (m/w/d) am Institut für Romanistik, im Bereich gesprochene Sprache / Phonetik	0	0	0	0	1	0	0		Freiburg	DE
stellenanzeigen/3289.html	1	2018-10-01	N/A	36		E13	bis TV-L E 13	50 %	50	2	N/A	2018	20. Juni 2018	Fachdidaktik	0	0	0	1	0	0	Französisch	1	0	0	0	0	0	0	0	0	0	3844-Serena_Bartali	5028-Marcel_Schmitt	Wissenschaftliche/r Mitarbeiter/in/Mitarbeiters	0	0	0	0	1	0	0		Tübingen	DE
